00a 0 0 0  0 b b -0.00020359958
00a 0 b b  0 0 0 0.0026688068
0ba b 0 0  0 0 0 -0.0011952052
b0a b 0 0  0 0 0 8.1161893e-06
0a0 0 b b  0 0 0 -1.7476669e-09
0ab b 0 0  0 0 0 0.0011952052
ba0 b 0 0  0 0 0 0.25611294
a00 0 0 0  0 b b 0.0027834386
a00 0 b b  0 0 0 0.51741964
a0b b 0 0  0 0 0 -8.1161888e-06
ab0 b 0 0  0 0 0 -0.25611294
0bb a 0 0  0 0 0 0.0011952052
b0b a 0 0  0 0 0 -8.1161864e-06
bb0 a 0 0  0 0 0 -0.25611294
000 0 a 0  b b 0 0.00019241644
00b 0 a b  0 0 0 -0.0026688068
0b0 0 a b  0 0 0 1.744893e-09
b00 0 a b  0 0 0 -0.51741964
000 0 0 a  b 0 b -0.00019241647
00b 0 b a  0 0 0 0.0026688068
0b0 0 b a  0 0 0 -1.7494556e-09
b00 0 b a  0 0 0 0.51741964
000 0 0 b  a 0 b 0.00019241647
000 0 b 0  a b 0 -0.00019241643
000 0 b 0  b a 0 0.00019241643
00b 0 0 0  0 a b 0.00020359959
b00 0 0 0  0 a b -0.0027834386
000 0 0 b  b 0 a -0.00019241646
00b 0 0 0  0 b a -0.00020359958
b00 0 0 0  0 b a 0.0027834386
