00a 0 0 0  b 0 b 0.028926159
00a b 0 b  0 0 0 0.034786549
002 0 b 0  0 0 0 0.037704947
0ba 0 b 0  0 0 0 -0.0086431594
b0a 0 b 0  0 0 0 -0.14116666
0a0 0 0 0  b 0 b -0.050379911
0a0 b 0 b  0 0 0 -0.054519226
0ab 0 b 0  0 0 0 -0.038965049
020 0 b 0  0 0 0 -0.040042359
ba0 0 b 0  0 0 0 -0.082625436
a00 0 0 0  b 0 b 0.00075425569
a00 b 0 b  0 0 0 0.67170271
a0b 0 b 0  0 0 0 -0.28676065
ab0 0 b 0  0 0 0 -0.16842079
200 0 b 0  0 0 0 0.0020815
000 a 0 0  b b 0 0.034711177
000 2 b 0  0 0 0 0.027971348
00b a 0 b  0 0 0 0.041832782
0b0 a 0 b  0 0 0 -0.013397929
b00 a 0 b  0 0 0 0.33577592
0bb 0 a 0  0 0 0 0.03032189
b0b 0 a 0  0 0 0 0.145594
bb0 0 a 0  0 0 0 0.085795355
000 0 0 a  0 b b 0.034400929
000 0 b 2  0 0 0 0.02773218
00b b 0 a  0 0 0 0.0070462334
0b0 b 0 a  0 0 0 0.041121297
b00 b 0 a  0 0 0 -0.33592679
000 0 b 0  2 0 0 -0.079297966
000 b 0 0  a b 0 0.1811503
00b 0 0 0  a 0 b -0.056923408
0b0 0 0 0  a 0 b -0.067158349
b00 0 0 0  a 0 b 0.00070008393
000 0 0 b  0 a b -0.14659922
000 0 b 0  0 2 0 -0.00070659099
000 b 0 0  b a 0 0.14643913
000 0 0 b  0 b a -0.18100015
000 0 b 0  0 0 2 0.079996454
00b 0 0 0  b 0 a -0.085849567
0b0 0 0 0  b 0 a -0.016778438
b00 0 0 0  b 0 a -5.4171745e-05
