000 0 0 a  0 a a 0.036206166
000 a 0 0  a a 0 0.036208744
00a 0 0 0  a 0 a -0.022472514
00a a 0 a  0 0 0 -0.010247057
0a0 0 0 0  a 0 a 0.035425779
0a0 a 0 a  0 0 0 0.014329733
0aa 0 a 0  0 0 0 0.010563414
a00 0 0 0  a 0 a -0.41154042
a00 a 0 a  0 0 0 -0.40130739
a0a 0 a 0  0 0 0 -0.70611874
aa0 0 a 0  0 0 0 -0.40765095
