000 0 0 a  0 a a 0.20340244
000 a 0 0  a a 0 -0.20399913
00a 0 0 0  a 0 a 0.18161887
00a a 0 a  0 0 0 0.80952091
0a0 0 0 0  a 0 a 0.10544082
0a0 a 0 a  0 0 0 0.46643937
0aa 0 a 0  0 0 0 0.0014722884
a00 0 0 0  a 0 a -0.0009761537
a00 a 0 a  0 0 0 -0.0039622411
a0a 0 a 0  0 0 0 2.6460658e-05
aa0 0 a 0  0 0 0 2.2511338e-05
