000 0 0 b  b 0 b -0.20369492
000 0 b 0  b b 0 -0.20369676
00b 0 0 0  0 b b -1.6296897e-06
00b 0 b b  0 0 0 2.1298837e-06
0b0 0 0 0  0 b b -0.21002972
0b0 0 b b  0 0 0 -0.93429306
0bb b 0 0  0 0 0 4.5443025e-06
b00 0 0 0  0 b b 3.3623831e-07
b00 0 b b  0 0 0 -7.5088259e-08
bb0 b 0 0  0 0 0 -9.8388586e-08
