00a 0 0 0  b b 0 0.030486997
00a b b 0  0 0 0 -0.0064648084
002 0 0 b  0 0 0 0.034502932
0ba 0 0 b  0 0 0 0.006506853
b0a 0 0 b  0 0 0 0.044162155
0a0 0 0 0  b b 0 -0.017600479
0a0 b b 0  0 0 0 0.0037324594
0ab 0 0 b  0 0 0 0.0069258658
020 0 0 b  0 0 0 0.041800537
ba0 0 0 b  0 0 0 0.084671329
a00 0 0 0  b b 0 -0.00015157648
a00 b b 0  0 0 0 3.2194595e-05
a0b 0 0 b  0 0 0 -0.005093926
ab0 0 0 b  0 0 0 -0.00064263648
200 0 0 b  0 0 0 -0.93129633
000 a 0 0  b 0 b 0.017907778
000 2 0 b  0 0 0 0.042222024
00b a b 0  0 0 0 -0.0068934711
0b0 a b 0  0 0 0 -0.0037519021
b00 a b 0  0 0 0 -0.084960204
000 0 a 0  0 b b 0.017908627
000 0 2 b  0 0 0 0.042223968
00b b a 0  0 0 0 -0.00042866275
0b0 b a 0  0 0 0 -0.0074843615
b00 b a 0  0 0 0 -0.084992399
0bb 0 0 a  0 0 0 -0.0004190128
b0b 0 0 a  0 0 0 0.049256081
bb0 0 0 a  0 0 0 0.085313965
000 0 0 b  2 0 0 -0.13750811
000 b 0 0  a 0 b 0.020030111
00b 0 0 0  a b 0 0.0081713977
0b0 0 0 0  a b 0 -0.020083055
b00 0 0 0  a b 0 -0.11384081
000 0 0 b  0 2 0 -0.13750945
000 0 b 0  0 a b 0.020029545
00b 0 0 0  b a 0 -0.022315599
0b0 0 0 0  b a 0 -0.0024825758
b00 0 0 0  b a 0 -0.11368924
000 0 0 b  0 0 2 -0.15893007
000 0 b 0  0 b a 0.0021209183
000 b 0 0  b 0 a 0.0021223327
