0aa b 0 0  0 0 0 -1.7248438e-06
a0a b 0 0  0 0 0 0.39377665
aa0 b 0 0  0 0 0 9.0900587e-06
00b 0 0 0  0 a a -3.2227906e-06
0b0 0 0 0  0 a a -0.041361532
b00 0 0 0  0 a a 7.6813992e-08
00b 0 a a  0 0 0 -3.316301e-06
0b0 0 a a  0 0 0 0.0013664098
b00 0 a a  0 0 0 3.7324693e-05
002 a 0 0  0 0 0 -0.0059440566
0ba a 0 0  0 0 0 -1.7654369e-06
b0a a 0 0  0 0 0 -0.7498177
0ab a 0 0  0 0 0 -3.4902806e-06
020 a 0 0  0 0 0 -0.06857468
ba0 a 0 0  0 0 0 -1.7865958e-05
a0b a 0 0  0 0 0 -0.35604105
ab0 a 0 0  0 0 0 -8.7758988e-06
200 a 0 0  0 0 0 0.00017066643
000 0 0 b  a 0 a -0.044392845
000 a 0 2  0 0 0 -0.03485679
00a 0 a b  0 0 0 -0.061731892
0a0 0 a b  0 0 0 -0.00068158498
a00 0 a b  0 0 0 0.011583498
000 0 b 0  a a 0 -0.044396704
000 a 2 0  0 0 0 -0.034859921
00a 0 b a  0 0 0 -0.061735208
0a0 0 b a  0 0 0 0.00068482482
a00 0 b a  0 0 0 0.011620823
000 0 0 a  b 0 a -0.023768248
000 0 a 0  b a 0 -0.023751997
000 a 0 0  2 0 0 -0.20439707
000 0 0 a  a 0 b 0.020624597
000 a 0 0  0 0 2 0.10129226
00a 0 0 0  0 a b -0.18711324
0a0 0 0 0  0 a b 0.020676291
a00 0 0 0  0 a b -0.0061962212
000 0 a 0  a b 0 0.020644707
000 a 0 0  0 2 0 0.10128353
00a 0 0 0  0 b a -0.18711647
0a0 0 0 0  0 b a -0.020685241
a00 0 0 0  0 b a -0.0061961444
