0aa 0 b 0  0 0 0 -0.00069092556
a0a 0 b 0  0 0 0 0.22204747
aa0 0 b 0  0 0 0 0.12764063
000 0 0 b  0 a a 0.00019283994
00a a 0 b  0 0 0 -0.002477581
0a0 a 0 b  0 0 0 -0.00011139687
a00 a 0 b  0 0 0 -0.51741829
00b 0 0 0  a 0 a -0.00012228556
0b0 0 0 0  a 0 a 0.00018665924
b00 0 0 0  a 0 a -0.0027726335
00b a 0 a  0 0 0 -0.0024775811
0b0 a 0 a  0 0 0 -0.00011139687
b00 a 0 a  0 0 0 -0.51741829
0ba 0 a 0  0 0 0 -0.00069092557
b0a 0 a 0  0 0 0 0.22204747
0ab 0 a 0  0 0 0 0.00069092556
ba0 0 a 0  0 0 0 0.12764063
a0b 0 a 0  0 0 0 -0.22204747
ab0 0 a 0  0 0 0 -0.12764063
000 b 0 0  a a 0 0.00019439711
00a b 0 a  0 0 0 0.002477581
0a0 b 0 a  0 0 0 0.00011139687
a00 b 0 a  0 0 0 0.51741829
000 0 0 a  0 b a -0.00019283993
000 a 0 0  a b 0 0.00019439712
000 0 0 a  0 a b 0.00019283995
00a 0 0 0  a 0 b -0.00012228556
0a0 0 0 0  a 0 b 0.00018665925
a00 0 0 0  a 0 b -0.0027726335
000 a 0 0  b a 0 -0.00019439712
00a 0 0 0  b 0 a 0.00012228555
0a0 0 0 0  b 0 a -0.00018665924
a00 0 0 0  b 0 a 0.0027726335
