000 0 b 0  0 b b -0.036206162
000 b 0 0  b 0 b 0.036208739
00b 0 0 0  b b 0 -0.022472544
00b b b 0  0 0 0 -0.010247066
0b0 0 0 0  b b 0 -0.035425758
0b0 b b 0  0 0 0 -0.014329714
0bb 0 0 b  0 0 0 -0.010563415
b00 0 0 0  b b 0 -0.41154046
b00 b b 0  0 0 0 -0.40130788
b0b 0 0 b  0 0 0 -0.70611824
bb0 0 0 b  0 0 0 0.4076513
