00a 0 0 0  0 b b -0.02244897
00a 0 b b  0 0 0 -0.0084176663
0ba b 0 0  0 0 0 -0.0026273963
b0a b 0 0  0 0 0 -3.915398e-07
0a0 0 0 0  0 b b 1.4343289e-08
0a0 0 b b  0 0 0 5.5491308e-09
0ab b 0 0  0 0 0 0.0026273963
ba0 b 0 0  0 0 0 -0.47077579
a00 0 0 0  0 b b 0.23777217
a00 0 b b  0 0 0 0.231759
a0b b 0 0  0 0 0 3.9154439e-07
ab0 b 0 0  0 0 0 0.47077579
0bb a 0 0  0 0 0 0.0026273963
b0b a 0 0  0 0 0 3.9153913e-07
bb0 a 0 0  0 0 0 0.47077579
000 0 a 0  b b 0 0.020903759
00b 0 a b  0 0 0 0.0084176663
0b0 0 a b  0 0 0 -5.5571712e-09
b00 0 a b  0 0 0 -0.231759
000 0 0 a  b 0 b -0.020903758
00b 0 b a  0 0 0 -0.0084176663
0b0 0 b a  0 0 0 5.5513955e-09
b00 0 b a  0 0 0 0.231759
000 0 0 b  a 0 b 0.020903758
000 0 b 0  a b 0 -0.020903759
000 0 b 0  b a 0 0.020903759
00b 0 0 0  0 a b 0.02244897
0b0 0 0 0  0 a b -1.434761e-08
b00 0 0 0  0 a b -0.23777217
000 0 0 b  b 0 a -0.020903758
00b 0 0 0  0 b a -0.02244897
0b0 0 0 0  0 b a 1.4346065e-08
b00 0 0 0  0 b a 0.23777217
