0a2 0 0 0  0 0 0 -0.044576558
02a 0 0 0  0 0 0 -8.9432497e-06
baa 0 0 0  0 0 0 0.0047977591
a02 0 0 0  0 0 0 -1.8456513e-05
aba 0 0 0  0 0 0 -0.097896109
20a 0 0 0  0 0 0 0.00018303583
aab 0 0 0  0 0 0 -0.10269387
a20 0 0 0  0 0 0 1.9316245e-05
2a0 0 0 0  0 0 0 -0.93137199
000 b 0 0  0 a a -0.034743552
000 b a a  0 0 0 0.00740786
00a 2 0 0  0 0 0 9.0283279e-06
0a0 2 0 0  0 0 0 -0.030516344
a00 2 0 0  0 0 0 1.922304e-05
000 0 b 0  a 0 a -0.017366236
000 a b a  0 0 0 0.003702668
00a 0 2 0  0 0 0 0.0060615308
0a0 0 2 0  0 0 0 -0.041728325
a00 0 2 0  0 0 0 -0.084853785
000 0 0 b  a a 0 0.01737809
000 a a b  0 0 0 -0.0037051921
00a 0 0 2  0 0 0 -0.0060481784
0a0 0 0 2  0 0 0 -0.041725772
a00 0 0 2  0 0 0 0.084834453
000 0 0 a  b a 0 -0.0024711641
000 0 a 0  b 0 a 0.0024796255
00a 0 0 0  2 0 0 2.5454427e-05
0a0 0 0 0  2 0 0 -0.159672
a00 0 0 0  2 0 0 -2.5285569e-05
000 0 0 a  a b 0 -0.019849254
000 a 0 0  0 b a -0.017374311
00a 0 0 0  0 2 0 -0.012115624
0a0 0 0 0  0 2 0 -0.13768684
a00 0 0 0  0 2 0 0.11073494
000 0 a 0  a 0 b 0.019845862
000 a 0 0  0 a b 0.017369241
00a 0 0 0  0 0 2 0.01217557
0a0 0 0 0  0 0 2 -0.13769183
a00 0 0 0  0 0 2 -0.11071004
