00a 0 0 0  0 b b -0.097472479
00a 0 b b  0 0 0 -0.09753169
0ba b 0 0  0 0 0 -0.04379364
b0a b 0 0  0 0 0 1.083947e-07
0a0 0 0 0  0 b b 8.2099195e-08
0a0 0 b b  0 0 0 1.6319875e-07
0ab b 0 0  0 0 0 0.04379364
ba0 b 0 0  0 0 0 0.21017064
a00 0 0 0  0 b b 0.49105122
a00 0 b b  0 0 0 -0.10637461
a0b b 0 0  0 0 0 -1.0839611e-07
ab0 b 0 0  0 0 0 -0.21017064
0bb a 0 0  0 0 0 0.04379364
b0b a 0 0  0 0 0 -1.0839159e-07
bb0 a 0 0  0 0 0 -0.21017064
000 0 a 0  b b 0 0.088835765
00b 0 a b  0 0 0 0.09753169
0b0 0 a b  0 0 0 -1.6319473e-07
b00 0 a b  0 0 0 0.10637461
000 0 0 a  b 0 b -0.088835711
00b 0 b a  0 0 0 -0.09753169
0b0 0 b a  0 0 0 1.632008e-07
b00 0 b a  0 0 0 -0.10637461
000 0 0 b  a 0 b 0.088835711
000 0 b 0  a b 0 -0.088835765
000 0 b 0  b a 0 0.088835765
00b 0 0 0  0 a b 0.097472479
0b0 0 0 0  0 a b -8.2094343e-08
b00 0 0 0  0 a b -0.49105122
000 0 0 b  b 0 a -0.088835711
00b 0 0 0  0 b a -0.097472479
0b0 0 0 0  0 b a 8.2097696e-08
b00 0 0 0  0 b a 0.49105122
