00a 0 0 0  0 b b 3.2223604e-06
00a 0 b b  0 0 0 3.3158592e-06
002 b 0 0  0 0 0 0.0059440566
0ba b 0 0  0 0 0 3.4898128e-06
b0a b 0 0  0 0 0 0.35604105
0a0 0 0 0  0 b b 0.041361532
0a0 0 b b  0 0 0 -0.0013664098
0ab b 0 0  0 0 0 1.7652029e-06
020 b 0 0  0 0 0 0.06857468
ba0 b 0 0  0 0 0 8.7746895e-06
a00 0 0 0  0 b b -7.6805053e-08
a00 0 b b  0 0 0 -3.731972e-05
a0b b 0 0  0 0 0 0.7498177
ab0 b 0 0  0 0 0 1.7863498e-05
200 b 0 0  0 0 0 -0.00017066646
0bb a 0 0  0 0 0 1.72461e-06
b0b a 0 0  0 0 0 -0.39377665
bb0 a 0 0  0 0 0 -9.0888085e-06
000 0 a 0  b b 0 0.044396703
000 b 2 0  0 0 0 0.034859921
00b 0 a b  0 0 0 0.061735208
0b0 0 a b  0 0 0 -0.0006848246
b00 0 a b  0 0 0 -0.01162082
000 0 0 a  b 0 b 0.044392845
000 b 0 2  0 0 0 0.03485679
00b 0 b a  0 0 0 0.061731892
0b0 0 b a  0 0 0 0.00068158518
b00 0 b a  0 0 0 -0.011583501
000 0 0 b  a 0 b 0.023768247
000 0 b 0  a b 0 0.023751998
000 b 0 0  2 0 0 0.20439707
000 0 b 0  b a 0 -0.020644705
000 b 0 0  0 2 0 -0.10128353
00b 0 0 0  0 a b 0.18711647
0b0 0 0 0  0 a b 0.02068524
b00 0 0 0  0 a b 0.0061961443
000 0 0 b  b 0 a -0.020624598
000 b 0 0  0 0 2 -0.10129226
00b 0 0 0  0 b a 0.18711324
0b0 0 0 0  0 b a -0.020676291
b00 0 0 0  0 b a 0.0061962211
