000 0 b 0  0 b b 0.00033399316
000 b 0 0  b 0 b -0.00033668898
00b 0 0 0  b b 0 0.00021179455
00b b b 0  0 0 0 0.0042912916
0b0 0 0 0  b b 0 0.00032328787
0b0 b b 0  0 0 0 -0.0001929574
0bb 0 0 b  0 0 0 -0.0011966642
b00 0 0 0  b b 0 0.0048021402
b00 b b 0  0 0 0 0.89619452
b0b 0 0 b  0 0 0 -0.3846046
bb0 0 0 b  0 0 0 0.22106869
