00a 0 0 0  b b 0 0.10485811
00a b b 0  0 0 0 0.46737611
0ba 0 0 b  0 0 0 0.0008474047
b0a 0 0 b  0 0 0 -1.5216586e-05
0a0 0 0 0  b b 0 -0.060875642
0a0 b b 0  0 0 0 -0.26930067
0ab 0 0 b  0 0 0 -0.0008474047
ba0 0 0 b  0 0 0 1.2949149e-05
a00 0 0 0  b b 0 -0.00056339482
a00 b b 0  0 0 0 -0.0022876334
a0b 0 0 b  0 0 0 1.5216588e-05
ab0 0 0 b  0 0 0 -1.2949151e-05
000 a 0 0  b 0 b -0.11777841
00b a b 0  0 0 0 -0.46737611
0b0 a b 0  0 0 0 0.26930067
b00 a b 0  0 0 0 0.0022876333
000 0 a 0  0 b b -0.11743497
00b b a 0  0 0 0 0.46737611
0b0 b a 0  0 0 0 -0.26930067
b00 b a 0  0 0 0 -0.0022876334
0bb 0 0 a  0 0 0 -0.0008474047
b0b 0 0 a  0 0 0 1.5216586e-05
bb0 0 0 a  0 0 0 -1.2949149e-05
000 b 0 0  a 0 b 0.11777841
00b 0 0 0  a b 0 -0.10485811
0b0 0 0 0  a b 0 0.060875642
b00 0 0 0  a b 0 0.00056339481
000 0 b 0  0 a b 0.11743497
00b 0 0 0  b a 0 0.10485811
0b0 0 0 0  b a 0 -0.060875642
b00 0 0 0  b a 0 -0.00056339482
000 0 b 0  0 b a -0.11743497
000 b 0 0  b 0 a -0.11777841
