00a 0 0 0  b 0 b -0.05345773
00a b 0 b  0 0 0 -0.053425438
002 0 b 0  0 0 0 -0.020026028
0ba 0 b 0  0 0 0 -0.053042216
b0a 0 b 0  0 0 0 0.25025961
0a0 0 0 0  b 0 b -0.030867598
0a0 b 0 b  0 0 0 -0.030844491
0ab 0 b 0  0 0 0 -0.055057604
020 0 b 0  0 0 0 0.039799565
ba0 0 b 0  0 0 0 -0.43194246
a00 0 0 0  b 0 b 0.00026134251
a00 b 0 b  0 0 0 0.00026833505
a0b 0 b 0  0 0 0 0.013752473
ab0 0 b 0  0 0 0 -0.022356472
200 0 b 0  0 0 0 0.12239494
000 a 0 0  b b 0 -0.028843084
000 2 b 0  0 0 0 0.043215638
00b a 0 b  0 0 0 -0.053845408
0b0 a 0 b  0 0 0 0.027901137
b00 a 0 b  0 0 0 -0.4305003
0bb 0 a 0  0 0 0 0.0020153882
b0b 0 a 0  0 0 0 0.23650714
bb0 0 a 0  0 0 0 -0.40958598
000 0 0 a  0 b b 0.028839836
000 0 b 2  0 0 0 -0.043215852
00b b 0 a  0 0 0 -0.00041996991
0b0 b 0 a  0 0 0 0.058745627
b00 b 0 a  0 0 0 -0.43076863
000 0 b 0  2 0 0 0.072808618
000 b 0 0  a b 0 0.039740196
00b 0 0 0  a 0 b -0.053323295
0b0 0 0 0  a 0 b 0.032320309
b00 0 0 0  a 0 b 0.19999936
000 0 0 b  0 a b 0.068575609
000 0 b 0  0 2 0 -0.040231276
000 b 0 0  b a 0 0.06858328
000 0 0 b  0 b a 0.039735773
000 0 b 0  0 0 2 0.072800606
00b 0 0 0  b 0 a 0.00013443441
0b0 0 0 0  b 0 a 0.063187907
b00 0 0 0  b 0 a 0.19973802
