000 0 0 b  0 b b -0.036206165
000 b 0 0  b b 0 -0.036208741
00b 0 0 0  b 0 b 0.022472519
00b b 0 b  0 0 0 0.010247057
0b0 0 0 0  b 0 b -0.03542578
0b0 b 0 b  0 0 0 -0.014329733
0bb 0 b 0  0 0 0 -0.010563413
b00 0 0 0  b 0 b 0.41154042
b00 b 0 b  0 0 0 0.40130739
b0b 0 b 0  0 0 0 0.70611874
bb0 0 b 0  0 0 0 0.40765095
