0aa 0 b 0  0 0 0 0.03032189
a0a 0 b 0  0 0 0 0.145594
aa0 0 b 0  0 0 0 0.085795355
000 0 0 b  0 a a 0.034400929
000 0 a 2  0 0 0 0.02773218
00a a 0 b  0 0 0 0.0070462334
0a0 a 0 b  0 0 0 0.041121297
a00 a 0 b  0 0 0 -0.33592679
00b 0 0 0  a 0 a 0.028926159
0b0 0 0 0  a 0 a -0.050379911
b00 0 0 0  a 0 a 0.00075425568
00b a 0 a  0 0 0 0.034786549
0b0 a 0 a  0 0 0 -0.054519226
b00 a 0 a  0 0 0 0.67170271
002 0 a 0  0 0 0 0.037704947
0ba 0 a 0  0 0 0 -0.038965049
b0a 0 a 0  0 0 0 -0.28676065
0ab 0 a 0  0 0 0 -0.0086431594
020 0 a 0  0 0 0 -0.040042359
ba0 0 a 0  0 0 0 -0.16842079
a0b 0 a 0  0 0 0 -0.14116666
ab0 0 a 0  0 0 0 -0.082625437
200 0 a 0  0 0 0 0.0020815
000 b 0 0  a a 0 0.034711177
000 2 a 0  0 0 0 0.027971348
00a b 0 a  0 0 0 0.041832782
0a0 b 0 a  0 0 0 -0.013397929
a00 b 0 a  0 0 0 0.33577592
000 0 0 a  0 b a -0.14659922
000 0 a 0  0 2 0 -0.00070659108
000 a 0 0  a b 0 0.14643913
000 0 0 a  0 a b -0.18100015
000 0 a 0  0 0 2 0.079996454
00a 0 0 0  a 0 b -0.085849567
0a0 0 0 0  a 0 b -0.016778438
a00 0 0 0  a 0 b -5.4171744e-05
000 0 a 0  2 0 0 -0.079297966
000 a 0 0  b a 0 0.1811503
00a 0 0 0  b 0 a -0.056923408
0a0 0 0 0  b 0 a -0.067158349
a00 0 0 0  b 0 a 0.00070008394
