000 0 0 a  a 0 a 0.15386797
000 0 a 0  a a 0 -0.15386806
00a 0 0 0  0 a a 0.16882728
00a 0 a a  0 0 0 0.16892984
0a0 0 0 0  0 a a -1.419769e-07
0a0 0 a a  0 0 0 -2.8265241e-07
0aa a 0 0  0 0 0 -0.075852808
a00 0 0 0  0 a a -0.85052567
a00 0 a a  0 0 0 0.18424623
a0a a 0 0  0 0 0 1.8774429e-07
aa0 a 0 0  0 0 0 0.36402623
