00a 0 0 0  0 b b 2.7294989e-08
00a 0 b b  0 0 0 2.7967722e-08
002 b 0 0  0 0 0 -0.067787613
0ba b 0 0  0 0 0 6.0699915e-08
b0a b 0 0  0 0 0 0.49880123
0a0 0 0 0  0 b b 0.061728797
0a0 0 b b  0 0 0 0.061689885
0ab b 0 0  0 0 0 4.5387825e-08
020 b 0 0  0 0 0 0.05187497
ba0 b 0 0  0 0 0 -4.559182e-07
a00 0 b b  0 0 0 -2.0963308e-08
a0b b 0 0  0 0 0 0.025821706
ab0 b 0 0  0 0 0 -3.0581295e-08
200 b 0 0  0 0 0 -0.12626586
0bb a 0 0  0 0 0 1.5311887e-08
b0b a 0 0  0 0 0 0.47297953
bb0 a 0 0  0 0 0 -4.2533609e-07
000 0 a 0  b b 0 -0.028841668
000 b 2 0  0 0 0 0.04321496
00b 0 a b  0 0 0 -0.047916305
0b0 0 a b  0 0 0 0.030844981
b00 0 a b  0 0 0 0.43099961
000 0 0 a  b 0 b -0.028841669
000 b 0 2  0 0 0 0.043214939
00b 0 b a  0 0 0 -0.047916333
0b0 0 b a  0 0 0 -0.030844904
b00 0 b a  0 0 0 0.43099964
000 0 0 b  a 0 b -0.068578983
000 0 b 0  a b 0 -0.068578997
000 b 0 0  2 0 0 0.040234028
000 0 b 0  b a 0 -0.039737329
000 b 0 0  0 2 0 -0.072806893
00b 0 0 0  0 a b -0.05612311
0b0 0 0 0  0 a b 0.030864454
b00 0 0 0  0 a b -0.19946327
000 0 0 b  b 0 a -0.039737314
000 b 0 0  0 0 2 -0.072806802
00b 0 0 0  0 b a -0.056123138
0b0 0 0 0  0 b a -0.030864343
b00 0 0 0  0 b a -0.19946327
