00a 0 0 0  b 0 b -0.012974512
00a b 0 b  0 0 0 -0.0059161414
0ba 0 b 0  0 0 0 -0.0060987889
b0a 0 b 0  0 0 0 0.40767784
0a0 0 0 0  b 0 b 0.020453083
0a0 b 0 b  0 0 0 0.0082732754
0ab 0 b 0  0 0 0 0.0060987889
ba0 0 b 0  0 0 0 0.23535739
a00 0 0 0  b 0 b -0.23760297
a00 b 0 b  0 0 0 -0.23169493
a0b 0 b 0  0 0 0 -0.40767784
ab0 0 b 0  0 0 0 -0.23535739
000 a 0 0  b b 0 0.020905129
00b a 0 b  0 0 0 0.0059161414
0b0 a 0 b  0 0 0 -0.0082732754
b00 a 0 b  0 0 0 0.23169493
0bb 0 a 0  0 0 0 0.0060987889
b0b 0 a 0  0 0 0 -0.40767784
bb0 0 a 0  0 0 0 -0.23535739
000 0 0 a  0 b b 0.02090364
00b b 0 a  0 0 0 -0.0059161414
0b0 b 0 a  0 0 0 0.0082732754
b00 b 0 a  0 0 0 -0.23169493
000 b 0 0  a b 0 -0.020905129
00b 0 0 0  a 0 b 0.012974512
0b0 0 0 0  a 0 b -0.020453083
b00 0 0 0  a 0 b 0.23760297
000 0 0 b  0 a b -0.02090364
000 b 0 0  b a 0 0.020905129
000 0 0 b  0 b a 0.02090364
00b 0 0 0  b 0 a -0.012974512
0b0 0 0 0  b 0 a 0.020453083
b00 0 0 0  b 0 a -0.23760297
