000 0 a 0  0 a a -0.00033399179
000 a 0 0  a 0 a 0.00033668798
00a 0 0 0  a a 0 -0.00021179655
00a a a 0  0 0 0 -0.0042912912
0a0 0 0 0  a a 0 -0.00032328924
0a0 a a 0  0 0 0 0.00019295739
0aa 0 0 a  0 0 0 0.0011966641
a00 0 0 0  a a 0 -0.0048021402
a00 a a 0  0 0 0 -0.89619452
a0a 0 0 a  0 0 0 0.38460459
aa0 0 0 a  0 0 0 -0.2210687
