0aa 0 b 0  0 0 0 -0.00041901341
a0a 0 b 0  0 0 0 -0.049256004
aa0 0 b 0  0 0 0 0.085314025
000 0 0 b  0 a a 0.017908629
000 0 a 2  0 0 0 0.042223969
00a a 0 b  0 0 0 0.00042865544
0a0 a 0 b  0 0 0 -0.0074843625
a00 a 0 b  0 0 0 0.084992415
00b 0 0 0  a 0 a -0.030487008
0b0 0 0 0  a 0 a -0.017600441
b00 0 0 0  a 0 a 0.00015157617
00b a 0 a  0 0 0 0.0064648135
0b0 a 0 a  0 0 0 0.0037324536
b00 a 0 a  0 0 0 -3.2194985e-05
002 0 a 0  0 0 0 -0.034502917
0ba 0 a 0  0 0 0 0.0069258657
b0a 0 a 0  0 0 0 0.0050939222
0ab 0 a 0  0 0 0 0.0065068523
020 0 a 0  0 0 0 -0.04180055
ba0 0 a 0  0 0 0 -0.00064262723
a0b 0 a 0  0 0 0 -0.044162082
ab0 0 a 0  0 0 0 0.084671398
200 0 a 0  0 0 0 0.93129632
000 b 0 0  a a 0 -0.01790778
000 2 a 0  0 0 0 -0.042222024
00a b 0 a  0 0 0 0.0068934689
0a0 b 0 a  0 0 0 -0.0037519089
a00 b 0 a  0 0 0 0.08496022
000 0 0 a  0 b a -0.0021209187
000 0 a 0  0 2 0 0.15893009
000 a 0 0  a b 0 -0.0021223349
000 0 0 a  0 a b -0.020029547
000 0 a 0  0 0 2 0.13750944
00a 0 0 0  a 0 b 0.022315593
0a0 0 0 0  a 0 b -0.0024826012
a00 0 0 0  a 0 b 0.11368922
000 0 a 0  2 0 0 0.1375081
000 a 0 0  b a 0 -0.020030115
00a 0 0 0  b 0 a -0.0081714155
0a0 0 0 0  b 0 a -0.020083042
a00 0 0 0  b 0 a 0.1138408
