0aa 0 0 b  0 0 0 -0.030321834
a0a 0 0 b  0 0 0 0.14558319
aa0 0 0 b  0 0 0 -0.085814347
000 0 b 0  0 a a -0.034398451
000 0 2 a  0 0 0 -0.027730196
00a a b 0  0 0 0 0.0070478284
0a0 a b 0  0 0 0 -0.041118299
a00 a b 0  0 0 0 -0.33592601
000 b 0 0  a 0 a 0.034713587
000 2 0 a  0 0 0 0.027973217
00a b a 0  0 0 0 0.041834467
0a0 b a 0  0 0 0 0.01340083
a00 b a 0  0 0 0 0.33577639
00b 0 0 0  a a 0 0.028924243
0b0 0 0 0  a a 0 0.050381044
b00 0 0 0  a a 0 0.00075424667
00b a a 0  0 0 0 0.034786639
0b0 a a 0  0 0 0 0.054519129
b00 a a 0  0 0 0 0.6717024
002 0 0 a  0 0 0 0.037702347
0ba 0 0 a  0 0 0 0.038966724
b0a 0 0 a  0 0 0 -0.28674006
0ab 0 0 a  0 0 0 0.0086448898
020 0 0 a  0 0 0 -0.040043423
ba0 0 0 a  0 0 0 0.168457
a0b 0 0 a  0 0 0 -0.14115687
ab0 0 0 a  0 0 0 0.082642653
200 0 0 a  0 0 0 0.0020810553
000 0 0 a  0 0 2 -0.00071785957
000 0 a 0  0 a b -0.14660049
000 a 0 0  a 0 b 0.14643776
000 0 0 a  0 2 0 0.080002107
000 0 a 0  0 b a -0.18099894
00a 0 0 0  a b 0 -0.08584346
0a0 0 0 0  a b 0 0.016786894
a00 0 0 0  a b 0 -5.4581922e-05
000 0 0 a  2 0 0 -0.079292431
000 a 0 0  b 0 a 0.18115134
00a 0 0 0  b a 0 -0.056919217
0a0 0 0 0  b a 0 0.067167938
a00 0 0 0  b a 0 0.00069966476
