00a 0 0 0  b 0 b 0.1048577
00a b 0 b  0 0 0 0.46737712
0ba 0 b 0  0 0 0 -0.00085002656
b0a 0 b 0  0 0 0 -1.5277057e-05
0a0 0 0 0  b 0 b 0.060876287
0a0 b 0 b  0 0 0 0.2692989
0ab 0 b 0  0 0 0 0.00085002656
ba0 0 b 0  0 0 0 -1.2996933e-05
a00 0 0 0  b 0 b -0.0005635826
a00 b 0 b  0 0 0 -0.002287601
a0b 0 b 0  0 0 0 1.5277058e-05
ab0 0 b 0  0 0 0 1.2996932e-05
000 a 0 0  b b 0 -0.11777895
00b a 0 b  0 0 0 -0.46737712
0b0 a 0 b  0 0 0 -0.2692989
b00 a 0 b  0 0 0 0.002287601
0bb 0 a 0  0 0 0 0.00085002656
b0b 0 a 0  0 0 0 1.5277057e-05
bb0 0 a 0  0 0 0 1.2996933e-05
000 0 0 a  0 b b 0.11743446
00b b 0 a  0 0 0 0.46737712
0b0 b 0 a  0 0 0 0.2692989
b00 b 0 a  0 0 0 -0.002287601
000 b 0 0  a b 0 0.11777895
00b 0 0 0  a 0 b -0.1048577
0b0 0 0 0  a 0 b -0.060876287
b00 0 0 0  a 0 b 0.0005635826
000 0 0 b  0 a b -0.11743446
000 b 0 0  b a 0 -0.11777895
000 0 0 b  0 b a 0.11743446
00b 0 0 0  b 0 a 0.1048577
0b0 0 0 0  b 0 a 0.060876287
b00 0 0 0  b 0 a -0.0005635826
