00a 0 0 0  0 b b -2.2684358e-09
00a 0 b b  0 0 0 -3.7955538e-08
0ba b 0 0  0 0 0 1.6273511e-08
b0a b 0 0  0 0 0 0.57735027
0ab b 0 0  0 0 0 -1.6271301e-08
ba0 b 0 0  0 0 0 -3.9606701e-06
a00 0 0 0  0 b b 2.3310685e-08
a00 0 b b  0 0 0 -7.0956901e-06
a0b b 0 0  0 0 0 -0.57735027
ab0 b 0 0  0 0 0 3.9606687e-06
0bb a 0 0  0 0 0 -1.6274374e-08
b0b a 0 0  0 0 0 -0.57735027
bb0 a 0 0  0 0 0 3.9606687e-06
000 0 a 0  b b 0 2.1027408e-09
00b 0 a b  0 0 0 3.7962117e-08
b00 0 a b  0 0 0 7.0956923e-06
000 0 0 a  b 0 b -2.1008029e-09
00b 0 b a  0 0 0 -3.7954185e-08
b00 0 b a  0 0 0 -7.0956927e-06
000 0 0 b  a 0 b 2.102729e-09
000 0 b 0  a b 0 -2.1021894e-09
000 0 b 0  b a 0 2.0970464e-09
00b 0 0 0  0 a b 2.2793605e-09
b00 0 0 0  0 a b -2.3318785e-08
000 0 0 b  b 0 a -2.1015207e-09
00b 0 0 0  0 b a -2.2606074e-09
b00 0 0 0  0 b a 2.332034e-08
