0aa 0 0 b  0 0 0 0.001784372
a0a 0 0 b  0 0 0 -0.1974053
aa0 0 0 b  0 0 0 -0.34072488
000 0 b 0  0 a a 0.044514227
000 0 2 a  0 0 0 0.034958391
00a a b 0  0 0 0 0.030333155
0a0 a b 0  0 0 0 0.053993699
a00 a b 0  0 0 0 0.012338526
000 b 0 0  a 0 a 0.044272191
000 2 0 a  0 0 0 0.034760426
00a b a 0  0 0 0 0.031394854
0a0 b a 0  0 0 0 0.053117694
a00 b a 0  0 0 0 0.0099629387
00b 0 0 0  a a 0 -0.035922296
0b0 0 0 0  a a 0 0.020502958
b00 0 0 0  a a 0 0.0001749075
00b a a 0  0 0 0 0.0010616989
0b0 a a 0  0 0 0 -0.00087600472
b00 a a 0  0 0 0 -0.0023755871
002 0 0 a  0 0 0 -0.048979663
0ba 0 0 a  0 0 0 0.030852888
b0a 0 0 a  0 0 0 0.3761389
0ab 0 0 a  0 0 0 0.03263726
020 0 0 a  0 0 0 -0.01738204
ba0 0 0 a  0 0 0 0.6486215
a0b 0 0 a  0 0 0 0.1787336
ab0 0 0 a  0 0 0 0.30789661
200 0 0 a  0 0 0 -0.0079916528
000 0 0 a  0 0 2 -0.20437661
000 0 a 0  0 a b -0.023242508
000 a 0 0  a 0 b -0.024278171
000 0 0 a  0 2 0 0.10099386
000 0 a 0  0 b a 0.021271719
00a 0 0 0  a b 0 0.11172062
0a0 0 0 0  a b 0 0.15163225
a00 0 0 0  a b 0 -0.0076659018
000 0 0 a  2 0 0 0.10156611
000 a 0 0  b 0 a 0.01999402
00a 0 0 0  b a 0 0.075798323
0a0 0 0 0  b a 0 0.17213521
a00 0 0 0  b a 0 -0.0074909943
