0b2 0 0 0  0 0 0 -0.0055389547
b02 0 0 0  0 0 0 9.1452514e-08
bba 0 0 0  0 0 0 0.37556509
02b 0 0 0  0 0 0 -1.3733631e-08
bab 0 0 0  0 0 0 -0.37555587
b20 0 0 0  0 0 0 -9.1326373e-08
abb 0 0 0  0 0 0 -0.75112096
20b 0 0 0  0 0 0 4.0729034e-08
2b0 0 0 0  0 0 0 -0.005542145
000 a 0 0  0 b b -0.042915114
000 a b b  0 0 0 -1.542213e-06
00b 2 0 0  0 0 0 -2.5016654e-08
0b0 2 0 0  0 0 0 -0.070356312
b00 2 0 0  0 0 0 -4.6986754e-08
000 0 a 0  b 0 b 0.042914029
000 b a b  0 0 0 -7.6719737e-07
00b 0 2 0  0 0 0 0.060934593
0b0 0 2 0  0 0 0 0.035178594
b00 0 2 0  0 0 0 -0.00028977975
000 0 0 a  b b 0 -0.042914028
000 b b a  0 0 0 7.7501559e-07
00b 0 0 2  0 0 0 -0.060934558
0b0 0 0 2  0 0 0 0.035178666
b00 0 0 2  0 0 0 0.0002898267
000 0 0 b  a b 0 -0.021455303
000 0 b 0  a 0 b 0.021455295
00b 0 0 0  2 0 0 1.3755092e-07
0b0 0 0 0  2 0 0 0.2086037
b00 0 0 0  2 0 0 -3.7689755e-08
000 0 0 b  b a 0 0.021458725
000 b 0 0  0 a b -0.021457549
00b 0 0 0  0 2 0 -0.1806261
0b0 0 0 0  0 2 0 -0.1043006
b00 0 0 0  0 2 0 0.00089384746
000 0 b 0  b 0 a -0.021458735
000 b 0 0  0 b a 0.021457566
00b 0 0 0  0 0 2 0.18062593
0b0 0 0 0  0 0 2 -0.1043007
b00 0 0 0  0 0 2 -0.0008938096
