0aa b 0 0  0 0 0 -2.6230644e-06
aa0 b 0 0  0 0 0 5.6792437e-08
00b 0 0 0  0 a a 9.4067632e-07
0b0 0 0 0  0 a a 0.12126072
b00 0 0 0  0 a a -1.9408696e-07
00b 0 a a  0 0 0 -1.2293999e-06
0b0 0 a a  0 0 0 0.53941435
b00 0 a a  0 0 0 4.3343059e-08
0ba a 0 0  0 0 0 -2.6230648e-06
0ab a 0 0  0 0 0 2.6230666e-06
ba0 a 0 0  0 0 0 5.6797246e-08
ab0 a 0 0  0 0 0 -5.6794954e-08
000 0 0 b  a 0 a 0.11760332
00a 0 a b  0 0 0 -1.2293982e-06
0a0 0 a b  0 0 0 0.53941435
a00 0 a b  0 0 0 4.334442e-08
000 0 b 0  a a 0 0.11760438
00a 0 b a  0 0 0 1.2293982e-06
0a0 0 b a  0 0 0 -0.53941435
a00 0 b a  0 0 0 -4.3340756e-08
000 0 0 a  b 0 a -0.11760332
000 0 a 0  b a 0 -0.11760438
000 0 0 a  a 0 b 0.11760332
00a 0 0 0  0 a b 9.4067682e-07
0a0 0 0 0  0 a b 0.12126072
a00 0 0 0  0 a b -1.9408688e-07
000 0 a 0  a b 0 0.11760438
00a 0 0 0  0 b a -9.4067613e-07
0a0 0 0 0  0 b a -0.12126072
a00 0 0 0  0 b a 1.9408643e-07
