000 0 0 a  a 0 a 0.20369492
000 0 a 0  a a 0 0.20369676
00a 0 0 0  0 a a 1.6294018e-06
00a 0 a a  0 0 0 -2.1295017e-06
0a0 0 0 0  0 a a 0.21002972
0a0 0 a a  0 0 0 0.93429306
0aa a 0 0  0 0 0 -4.5435433e-06
a00 0 0 0  0 a a -3.362084e-07
a00 0 a a  0 0 0 7.5082619e-08
aa0 a 0 0  0 0 0 9.8384496e-08
