00a 0 0 0  b b 0 0.012974529
00a b b 0  0 0 0 0.0059161463
0ba 0 0 b  0 0 0 -0.0060987901
b0a 0 0 b  0 0 0 -0.40767756
0a0 0 0 0  b b 0 0.020453071
0a0 b b 0  0 0 0 0.008273264
0ab 0 0 b  0 0 0 0.0060987902
ba0 0 0 b  0 0 0 0.23535759
a00 0 0 0  b b 0 0.23760299
a00 b b 0  0 0 0 0.23169521
a0b 0 0 b  0 0 0 0.40767756
ab0 0 0 b  0 0 0 -0.23535759
000 a 0 0  b 0 b -0.020905125
00b a b 0  0 0 0 -0.0059161463
0b0 a b 0  0 0 0 -0.008273264
b00 a b 0  0 0 0 -0.23169521
000 0 a 0  0 b b 0.020903637
00b b a 0  0 0 0 0.0059161463
0b0 b a 0  0 0 0 0.008273264
b00 b a 0  0 0 0 0.23169521
0bb 0 0 a  0 0 0 0.0060987901
b0b 0 0 a  0 0 0 0.40767756
bb0 0 0 a  0 0 0 -0.23535759
000 b 0 0  a 0 b 0.020905125
00b 0 0 0  a b 0 -0.012974529
0b0 0 0 0  a b 0 -0.020453071
b00 0 0 0  a b 0 -0.23760299
000 0 b 0  0 a b -0.020903637
00b 0 0 0  b a 0 0.012974529
0b0 0 0 0  b a 0 0.020453071
b00 0 0 0  b a 0 0.23760299
000 0 b 0  0 b a 0.020903637
000 b 0 0  b 0 a -0.020905125
