000 0 a 0  0 a a -0.036206162
000 a 0 0  a 0 a 0.036208739
00a 0 0 0  a a 0 -0.022472544
00a a a 0  0 0 0 -0.010247066
0a0 0 0 0  a a 0 -0.035425759
0a0 a a 0  0 0 0 -0.014329713
0aa 0 0 a  0 0 0 -0.010563415
a00 0 0 0  a a 0 -0.41154046
a00 a a 0  0 0 0 -0.40130788
a0a 0 0 a  0 0 0 -0.70611824
aa0 0 0 a  0 0 0 0.4076513
