00a 0 0 0  b b 0 0.028924244
00a b b 0  0 0 0 0.034786639
002 0 0 b  0 0 0 0.037702349
0ba 0 0 b  0 0 0 0.0086448888
b0a 0 0 b  0 0 0 -0.14115687
0a0 0 0 0  b b 0 0.050381043
0a0 b b 0  0 0 0 0.054519129
0ab 0 0 b  0 0 0 0.038966723
020 0 0 b  0 0 0 -0.040043423
ba0 0 0 b  0 0 0 0.082642643
a00 0 0 0  b b 0 0.00075424666
a00 b b 0  0 0 0 0.6717024
a0b 0 0 b  0 0 0 -0.28674007
ab0 0 0 b  0 0 0 0.16845698
200 0 0 b  0 0 0 0.0020810555
000 a 0 0  b 0 b 0.034713586
000 2 0 b  0 0 0 0.027973216
00b a b 0  0 0 0 0.041834466
0b0 a b 0  0 0 0 0.013400828
b00 a b 0  0 0 0 0.33577639
000 0 a 0  0 b b -0.034398453
000 0 2 b  0 0 0 -0.027730197
00b b a 0  0 0 0 0.0070478275
0b0 b a 0  0 0 0 -0.041118301
b00 b a 0  0 0 0 -0.33592601
0bb 0 0 a  0 0 0 -0.030321834
b0b 0 0 a  0 0 0 0.1455832
bb0 0 0 a  0 0 0 -0.085814336
000 0 0 b  2 0 0 -0.079292435
000 b 0 0  a 0 b 0.18115134
00b 0 0 0  a b 0 -0.05691922
0b0 0 0 0  a b 0 0.067167933
b00 0 0 0  a b 0 0.00069966496
000 0 0 b  0 2 0 0.080002104
000 0 b 0  0 a b -0.18099894
00b 0 0 0  b a 0 -0.085843464
0b0 0 0 0  b a 0 0.016786889
b00 0 0 0  b a 0 -5.4581704e-05
000 0 0 b  0 0 2 -0.00071785324
000 0 b 0  0 b a -0.14660049
000 b 0 0  b 0 a 0.14643776
