00a 0 0 0  b 0 b -0.030487008
00a b 0 b  0 0 0 0.0064648135
002 0 b 0  0 0 0 -0.034502917
0ba 0 b 0  0 0 0 0.0065068523
b0a 0 b 0  0 0 0 -0.044162082
0a0 0 0 0  b 0 b -0.017600441
0a0 b 0 b  0 0 0 0.0037324536
0ab 0 b 0  0 0 0 0.0069258657
020 0 b 0  0 0 0 -0.04180055
ba0 0 b 0  0 0 0 0.084671398
a00 0 0 0  b 0 b 0.00015157617
a00 b 0 b  0 0 0 -3.2194989e-05
a0b 0 b 0  0 0 0 0.0050939222
ab0 0 b 0  0 0 0 -0.00064262724
200 0 b 0  0 0 0 0.93129632
000 a 0 0  b b 0 -0.01790778
000 2 b 0  0 0 0 -0.042222024
00b a 0 b  0 0 0 0.0068934689
0b0 a 0 b  0 0 0 -0.0037519089
b00 a 0 b  0 0 0 0.08496022
0bb 0 a 0  0 0 0 -0.00041901341
b0b 0 a 0  0 0 0 -0.049256004
bb0 0 a 0  0 0 0 0.085314025
000 0 0 a  0 b b 0.017908629
000 0 b 2  0 0 0 0.042223969
00b b 0 a  0 0 0 0.00042865544
0b0 b 0 a  0 0 0 -0.0074843625
b00 b 0 a  0 0 0 0.084992415
000 0 b 0  2 0 0 0.1375081
000 b 0 0  a b 0 -0.020030115
00b 0 0 0  a 0 b -0.0081714155
0b0 0 0 0  a 0 b -0.020083042
b00 0 0 0  a 0 b 0.1138408
000 0 0 b  0 a b -0.0021209187
000 0 b 0  0 2 0 0.15893009
000 b 0 0  b a 0 -0.0021223349
000 0 0 b  0 b a -0.020029547
000 0 b 0  0 0 2 0.13750944
00b 0 0 0  b 0 a 0.022315593
0b0 0 0 0  b 0 a -0.0024826012
b00 0 0 0  b 0 a 0.11368922
