0aa 0 b 0  0 0 0 0.00085002655
a0a 0 b 0  0 0 0 1.5277059e-05
aa0 0 b 0  0 0 0 1.2996919e-05
000 0 0 b  0 a a 0.11743446
00a a 0 b  0 0 0 0.46737712
0a0 a 0 b  0 0 0 0.2692989
a00 a 0 b  0 0 0 -0.002287601
00b 0 0 0  a 0 a 0.1048577
0b0 0 0 0  a 0 a 0.060876287
b00 0 0 0  a 0 a -0.00056358257
00b a 0 a  0 0 0 0.46737712
0b0 a 0 a  0 0 0 0.2692989
b00 a 0 a  0 0 0 -0.002287601
0ba 0 a 0  0 0 0 0.00085002656
b0a 0 a 0  0 0 0 1.5277059e-05
0ab 0 a 0  0 0 0 -0.00085002655
ba0 0 a 0  0 0 0 1.299692e-05
a0b 0 a 0  0 0 0 -1.5277059e-05
ab0 0 a 0  0 0 0 -1.299692e-05
000 b 0 0  a a 0 -0.11777895
00a b 0 a  0 0 0 -0.46737712
0a0 b 0 a  0 0 0 -0.2692989
a00 b 0 a  0 0 0 0.002287601
000 0 0 a  0 b a -0.11743446
000 a 0 0  a b 0 -0.11777895
000 0 0 a  0 a b 0.11743446
00a 0 0 0  a 0 b 0.1048577
0a0 0 0 0  a 0 b 0.060876287
a00 0 0 0  a 0 b -0.00056358257
000 a 0 0  b a 0 0.11777895
00a 0 0 0  b 0 a -0.1048577
0a0 0 0 0  b 0 a -0.060876287
a00 0 0 0  b 0 a 0.00056358257
