00a 0 0 0  b b 0 0.05345772
00a b b 0  0 0 0 0.053425398
002 0 0 b  0 0 0 0.020025939
0ba 0 0 b  0 0 0 -0.053042306
b0a 0 0 b  0 0 0 -0.25025995
0a0 0 0 0  b b 0 -0.030867668
0a0 b b 0  0 0 0 -0.030844542
0ab 0 0 b  0 0 0 -0.05505768
020 0 0 b  0 0 0 -0.039799449
ba0 0 0 b  0 0 0 -0.43194245
a00 0 0 0  b b 0 -0.00026134302
a00 b b 0  0 0 0 -0.0002683141
a0b 0 0 b  0 0 0 -0.013752548
ab0 0 0 b  0 0 0 -0.022356586
200 0 0 b  0 0 0 -0.12239488
000 a 0 0  b 0 b 0.028843076
000 2 0 b  0 0 0 -0.043215637
00b a b 0  0 0 0 0.053845408
0b0 a b 0  0 0 0 0.027901074
b00 a b 0  0 0 0 0.43050019
000 0 a 0  0 b b 0.028839827
000 0 2 b  0 0 0 -0.043215873
00b b a 0  0 0 0 0.00042001007
0b0 b a 0  0 0 0 0.058745616
b00 b a 0  0 0 0 0.4307685
0bb 0 0 a  0 0 0 0.0020153744
b0b 0 0 a  0 0 0 -0.2365074
bb0 0 0 a  0 0 0 -0.40958586
000 0 0 b  2 0 0 -0.072808595
000 b 0 0  a 0 b -0.039740171
00b 0 0 0  a b 0 0.053323311
0b0 0 0 0  a b 0 0.032320254
b00 0 0 0  a b 0 -0.19999939
000 0 0 b  0 2 0 -0.072800675
000 0 b 0  0 a b -0.039735763
00b 0 0 0  b a 0 -0.00013440922
0b0 0 0 0  b a 0 0.063187922
b00 0 0 0  b a 0 -0.19973804
000 0 0 b  0 0 2 0.040231323
000 0 b 0  0 b a -0.06857559
000 b 0 0  b 0 a -0.068583247
