00a 0 0 0  b b 0 0.035922295
00a b b 0  0 0 0 -0.0010616999
002 0 0 b  0 0 0 0.048979662
0ba 0 0 b  0 0 0 -0.03263726
b0a 0 0 b  0 0 0 -0.17873359
0a0 0 0 0  b b 0 -0.020502959
0a0 b b 0  0 0 0 0.00087600303
0ab 0 0 b  0 0 0 -0.030852889
020 0 0 b  0 0 0 0.017382041
ba0 0 0 b  0 0 0 -0.30789662
a00 0 0 0  b b 0 -0.00017490752
a00 b b 0  0 0 0 0.0023755663
a0b 0 0 b  0 0 0 -0.37613889
ab0 0 0 b  0 0 0 -0.6486215
200 0 0 b  0 0 0 0.0079916528
000 a 0 0  b 0 b -0.044272192
000 2 0 b  0 0 0 -0.034760427
00b a b 0  0 0 0 -0.031394855
0b0 a b 0  0 0 0 -0.053117695
b00 a b 0  0 0 0 -0.0099629491
000 0 a 0  0 b b -0.044514226
000 0 2 b  0 0 0 -0.03495839
00b b a 0  0 0 0 -0.030333155
0b0 b a 0  0 0 0 -0.053993698
b00 b a 0  0 0 0 -0.012338515
0bb 0 0 a  0 0 0 -0.0017843711
b0b 0 0 a  0 0 0 0.1974053
bb0 0 0 a  0 0 0 0.34072488
000 0 0 b  2 0 0 -0.10156611
000 b 0 0  a 0 b -0.019994025
00b 0 0 0  a b 0 -0.075798321
0b0 0 0 0  a b 0 -0.17213521
b00 0 0 0  a b 0 0.0074909943
000 0 0 b  0 2 0 -0.10099386
000 0 b 0  0 a b -0.021271713
00b 0 0 0  b a 0 -0.11172062
0b0 0 0 0  b a 0 -0.15163225
b00 0 0 0  b a 0 0.0076659018
000 0 0 b  0 0 2 0.20437661
000 0 b 0  0 b a 0.023242513
000 b 0 0  b 0 a 0.024278167
