000 0 0 b  b 0 b 0.15386797
000 0 b 0  b b 0 -0.15386806
00b 0 0 0  0 b b 0.16882728
00b 0 b b  0 0 0 0.16892984
0b0 0 0 0  0 b b -1.4274656e-07
0b0 0 b b  0 0 0 -2.8266278e-07
0bb b 0 0  0 0 0 -0.075852808
b00 0 0 0  0 b b -0.85052567
b00 0 b b  0 0 0 0.18424623
b0b b 0 0  0 0 0 1.8774416e-07
bb0 b 0 0  0 0 0 0.36402623
